name,relation,subject
题目,包含,经度的递变：
题目,包含,纬度的递变：
题目,包含,纬线的形状和长度：
题目,包含,经线的形状和长度：
题目,包含,东西经的判断：
题目,包含,南北纬的判断：
题目,包含,东西半球的划分：
题目,包含,东西方向的判断：
题目,包含,比例尺大小与图示范围：
题目,包含,地图上方向的确定：
题目,包含,等值线的疏密：
题目,包含,等高线的凸向与地形：
题目,包含,等高线的凸向与河流：
题目,包含,等温线的凸向与洋流：
题目,包含,天体的类别:
题目,包含,天体系统的层次:
题目,包含,大行星按特征分类：
题目,包含,月球：
题目,包含,月球：
题目,包含,月球：
题目,包含,地球生命存在的原因: 
题目,包含,太阳外部结构及其相应的太阳活动：
题目,包含,太阳活动
题目,包含,太阳活动的影响：
题目,包含,太阳辐射的影响：
题目,包含,太阳辐射的影响：
题目,包含,自转 方向：
题目,包含,速度：
题目,包含,周期：
题目,包含,意义：
题目,包含,晨昏线：
题目,包含,晨昏线与经线：
题目,包含,时间计算：
题目,包含,世界时：
题目,包含,日期分割：
题目,包含,日界线：
题目,包含,卫星发射基地的区位选择：
题目,包含,卫星发射基地的区位选择：
题目,包含,卫星发射基地的区位选择：
题目,包含,公转 速度：
题目,包含,公转 速度 意义：
题目,包含,公转与自转形成了黄赤交角（23°26′）：
题目,包含,公转与自转形成了黄赤交角（23°26′）：
题目,包含,公转与自转形成了黄赤交角（23°26′）：
题目,包含,公转与自转形成了黄赤交角（23°26′）：
题目,包含,正午太阳高度变化规律：
题目,包含,正午太阳高度变化规律：
题目,包含,正午太阳高度变化规律：
题目,包含,正午太阳高度变化规律：
题目,包含,正午太阳高度变化规律：
题目,包含,正午太阳高度变化规律：
题目,包含,昼夜长短的时间分布：
题目,包含,昼夜长短的时间分布：
题目,包含,昼夜长短的时间分布：
题目,包含,昼夜长短的纬度分布：
题目,包含,昼夜长短的纬度分布：
题目,包含,昼长=
题目,包含,昼长=
题目,包含,日出时间＝
题目,包含,日落时间＝
题目,包含,典型的季节现象
题目,包含,地球公转:
题目,包含,正午太阳高度:
题目,包含,昼夜长短:
题目,包含,等温线:
题目,包含,气压带、风带:
题目,包含,雪线:
题目,包含,北印度洋洋流:
题目,包含,我国的降水:
