name,relation,subject
题目,包含,天体
题目,包含,天体系统
题目,包含,区别1
题目,包含,地球存在生命的条件
题目,包含,地球存在生命的原因
题目,包含,光照
题目,包含,热量
题目,包含,区别2
题目,包含,积温
题目,包含,无霜期
题目,包含,恒星日
题目,包含,太阳日
题目,包含,冬至日
题目,包含,夏至日
题目,包含,昼夜现象
题目,包含,昼夜更替
题目,包含,昼夜长短
题目,包含,地方时
题目,包含,时区
题目,包含,区时
题目,包含,北京时间
题目,包含,国际标准时间
题目,包含,区别3
题目,包含,太阳高度
题目,包含,正午太阳高度
题目,包含,地壳
题目,包含,岩石圈
题目,包含,区别4
题目,包含,海岭
题目,包含,海沟
题目,包含,流水侵蚀
题目,包含,流水溶蚀
题目,包含,冲积扇
题目,包含,冲积平原
题目,包含,地质作用
题目,包含,地壳运动
题目,包含,地质构造
题目,包含,构造地貌
题目,包含,风化作用
题目,包含,风力侵蚀
题目,包含,区别5
题目,包含,黄土高原黄土的成因
题目,包含,地表千沟万壑的成因
题目,包含,气候
题目,包含,天气
题目,包含,区别6
题目,包含,温和
题目,包含,寒冷
题目,包含,凉爽
题目,包含,判断某地气候特征夏季是高温还是凉爽?
题目,包含,判断某地冬季气候特征是寒冷还是温和?
题目,包含,降水
题目,包含,降雨
题目,包含,低压
题目,包含,气旋
题目,包含,高压
题目,包含,反气旋
题目,包含,区别7
题目,包含,热带雨林气候
题目,包含,热带雨林
题目,包含,热带雨林带
题目,包含,寒潮
题目,包含,冷锋
题目,包含,区别8
题目,包含,冰川融水
题目,包含,水资源
题目,包含,水能资源
题目,包含,水利资源
题目,包含,水力资源
题目,包含,土壤
题目,包含,土地
题目,包含,土地资源
题目,包含,草原
题目,包含,草地
题目,包含,草场
题目,包含,滑坡
题目,包含,泥石流
题目,包含,人口自然增长率
题目,包含,计算公式
题目,包含,郊区城市化
题目,包含,逆城市化
题目,包含,全球变暖
题目,包含,热岛效应
题目,包含,地铁
题目,包含,轻轨
题目,包含,高铁
题目,包含,水分
题目,包含,水源
题目,包含,春小麦
题目,包含,冬小麦
题目,包含,乳畜业
题目,包含,大牧场放牧业
题目,包含,生态农业
题目,包含,立体农业
题目,包含,环境污染
题目,包含,生态破坏
题目,包含,四大地理分区
题目,包含,三大自然地理区域
